Summary,Custom field (Requirement ID),Description,Custom field (Requirement Rationale)
FM2010,FM2010,"Upon receipt of a Concatenate command, FM shall concatenate the command-specified file with the second command-specified file, copying the result to the command-specified destination file.","Concatenates 2 files together, producing a 3rd file. Assumes fully qualified paths."
FM2010.1,FM2010.1,"If the command-specified destination file exists, FM shall reject the command",Want to prevent files from being accidentally overwritten.
FM2011,FM2011,"Upon receipt of a File Info command, FM shall generate a message containing the following for the command-specified ""file:""
a) the file size,
b) last modification time,
c) file status (Open, Closed, or Non-existent)
d) <MISSION_DEFINED> CRC
e) the file mode (permissions), as a 4-byte value
f) command-specified filename",Obtain basic file information
FM2012,FM2012,"Upon receipt of a List Open Files command, FM shall generate a message containing:
a) the number of open files  
b) Up to <PLATFORM_DEFINED> names/paths (of each open file) and the application name that has opened the file","Provides operators info about open files - Files that are open should not be deleted or downlinked. If too many files are open at once, the system could run slower than expected, or decline another file from being opened. Note that the <MISSION_DEFINED> limit is imposed in support of fixed size telemetry messages."
FM2013,FM2013,"Upon receipt of a Set File Permissions command, FM shall set the command-specified file's permissions to the command-specified mode.",Support operational management of file permissions
FM2014,FM2014,"Upon receipt of a Verify File Signature command, FM shall verify the signature of the command-specified file. ",Support operational verification of file signature
FM3000,FM3000,"Upon receipt of a Create Directory command,  FM shall create the command-specified directory on the command-specified filesystem",Create directories and subdirectories on the file system.
FM3001,FM3001,"Upon receipt of a Delete command, FM shall remove the command-specified directory from the command-specified filesystem.",Remove directories from the file system.
FM3001.1,FM3001.1,"If the specified directory contains at least one file or subdirectory, the command shall be rejected",Require operators to explicitly remove all files before deleting the directory. Protection against accidentally deleting of a non-empty directory.
FM3002,FM3002,"Upon receipt of a Directory Listing To File command,  FM shall write the contents of the command-specified directory on any of the on-board file systems to the command-specified file. The following shall be written:                                                          
a) Directory name                                                              
b) file size in bytes of each file                                          
c) last modification time of each file                                
d) Filename of each file
e) Mode (permissions), as a 4-byte value, of each file",Get a directory listing and pipe it to a file for downlink. Note that the modification time format is specified by a cFE configuration parameter (TAI or UTC).
FM3002.1,FM3002.1,"FM shall issue an event message that reports:                
a) The number of filenames written to the specified file  
b) The total number of files in the directory                  
c) The command-specified file's filename",Operational notification of directory listing to file action.
FM3002.2,FM3002.2,FM shall use the <PLATFORM_DEFINED> default filename if a file is not specified,"cFE/CFS standard.
Want to provide flexibility to either use the same filename everytime you get a
directory listing or specify a new filename."
FM3002.3,FM3002.3,"If the command-specified GetSizeTimeMode flag is set to FALSE, FM shall initialize the following values to Zero:
b) file size in bytes of each file
c) last modification time of each file
e) Mode (permissions), as a 4-byte value, of each file
Note: the lettering of the listed values is kept in sync with parent requirement","Supports ability to skip size, time and mode information in request."
FM3003,FM3003,"Upon receipt of a Directory Listing command, FM shall generate a message containing the following for up to <PLATFORM_DEFINED> consecutive files starting at the command specified offset:                                                                                                                                                                          
a) Directory name                                                              
b) file size in bytes of each file                                            
c) last modification time of each file                                
d) Filename of each file
e) Mode (permissions), as a 4-byte value, of each file","Similar to FM3002 command, however, the directory listing is output in a message instead of a file. May make it easier for the ground to view (one step process). In addition, if there is a problem with the file system, writing to a file (as FM3002 does) is not reliable. The command specified offset is used
since there is a maximum number of files that can be downlinked (offset into
the file list). Note that the modification time format is specified by a cFE configuration parameter (TAI or UTC)"
FM3003.1,FM3003.1,"If the command-specified GetSizeTimeMode flag is set to FALSE, FM shall initialize the following values to Zero:
b) file size in bytes of each file
c) last modification time of each file
e) Mode (permissions), as a 4-byte value, of each file
Note: the lettering of the listed values is kept in sync with parent requirement","Supports ability to skip size, time, and mode information in request"
FM4000,FM4000,"FM shall generate a housekeeping message containing the following:    
a) Valid Command Counter(s)
b) Command Rejected Counter(s)
c) Total number of open files","Housekeeping telemetry to indicate basic FM status.  Note for implementations where commands are processed in different contexts (tasks) and have separate counters, they all need to be included."
FM4001,FM4001,"Upon receipt of a Report Device Free Space command, FM shall generate a message containing for each enabled device in the FM device table the amount of available free space.",Operational notification of free space by request
FM5000,FM5000,"Upon initialization of the FM Application,   FM shall initialize the following data to Zero    
a) Valid Command Counter                    
b) Command Rejected Counter",No information is preserved across an FM initialization. Note that the file system is preserved by the cFE across a processor reset.
